[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 172.64.41.3 → 192.168.100.2:57664 | Proto: UDP | Len: 1242
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 172.64.41.3 → 192.168.100.2:57664 | Proto: UDP | Len: 1242
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 172.64.41.3 → 192.168.100.2:57664 | Proto: UDP | Len: 662
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 192.168.100.2 → 172.64.41.3:443 | Proto: UDP | Len: 1292
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 172.64.41.3 → 192.168.100.2:57664 | Proto: UDP | Len: 626
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 192.168.100.2 → 216.58.213.99:443 | Proto: UDP | Len: 1292
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 192.168.100.2 → 216.58.213.99:443 | Proto: UDP | Len: 1292
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 192.168.100.2 → 216.58.213.99:443 | Proto: UDP | Len: 641
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 216.58.213.99 → 192.168.100.2:57389 | Proto: UDP | Len: 1292
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 216.58.213.99 → 192.168.100.2:57389 | Proto: UDP | Len: 1292
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 216.58.213.99 → 192.168.100.2:57389 | Proto: UDP | Len: 347
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 216.58.213.99 → 192.168.100.2:57389 | Proto: UDP | Len: 986
[2025-04-01 18:18:45] 🚨 ANOMALY DETECTED! 216.58.213.99 → 192.168.100.2:57389 | Proto: UDP | Len: 537
[2025-04-01 18:18:48] 🚨 ANOMALY DETECTED! 192.168.100.2 → 52.168.117.174:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:48] 🚨 ANOMALY DETECTED! 192.168.100.2 → 52.168.117.174:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:48] 🚨 ANOMALY DETECTED! 192.168.100.2 → 52.168.117.174:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:53] 🚨 ANOMALY DETECTED! 192.168.100.2 → 52.168.117.174:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:53] 🚨 ANOMALY DETECTED! 192.168.100.2 → 52.168.117.174:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:53] 🚨 ANOMALY DETECTED! 192.168.100.2 → 52.168.117.174:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:54] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.201.201:443 | Proto: TCP | Len: 1181
[2025-04-01 18:18:54] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.201.201:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:54] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.201.201:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:54] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.201.201:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:54] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.201.201:443 | Proto: TCP | Len: 1068
[2025-04-01 18:18:54] 🚨 ANOMALY DETECTED! 20.50.201.201 → 192.168.100.2:8939 | Proto: TCP | Len: 499
[2025-04-01 18:19:04] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.201.201:443 | Proto: TCP | Len: 1181
[2025-04-01 18:19:04] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.201.201:443 | Proto: TCP | Len: 1466
[2025-04-01 18:19:04] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.201.201:443 | Proto: TCP | Len: 1466
[2025-04-01 18:19:04] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.201.201:443 | Proto: TCP | Len: 1466
[2025-04-01 18:19:04] 🚨 ANOMALY DETECTED! 20.50.201.201 → 192.168.100.2:8939 | Proto: TCP | Len: 499
[2025-04-01 18:19:07] 🚨 ANOMALY DETECTED! 38.175.115.137 → 192.168.100.2:8425 | Proto: TCP | Len: 497
[2025-04-01 18:19:07] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.88.242:443 | Proto: TCP | Len: 339
[2025-04-01 18:19:07] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.88.242:443 | Proto: TCP | Len: 410
[2025-04-01 18:19:07] 🚨 ANOMALY DETECTED! 20.50.88.242 → 192.168.100.2:8949 | Proto: TCP | Len: 1466
[2025-04-01 18:19:07] 🚨 ANOMALY DETECTED! 20.50.88.242 → 192.168.100.2:8949 | Proto: TCP | Len: 1466
[2025-04-01 18:19:07] 🚨 ANOMALY DETECTED! 20.50.88.242 → 192.168.100.2:8949 | Proto: TCP | Len: 1466
[2025-04-01 18:19:07] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.50.88.242:443 | Proto: TCP | Len: 879
[2025-04-01 18:19:07] 🚨 ANOMALY DETECTED! 20.50.88.242 → 192.168.100.2:8949 | Proto: TCP | Len: 384
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.42.73.26:443 | Proto: TCP | Len: 571
